country,sector,year,gva,hours,capital,tfp,tfp_growth,exports,export_share
NL,A,2022,16318.0,386547,64783.0,0.07611306916984134,0.10222038062294048,6476.6043,39.68993933080034
NL,A,2023,18393.0,384798,66926.0,0.08513345991712448,0.1185130339068936,6938.2182,37.722058391779484
NL,C,2014,65571.0,1105263,143707.0,0.11631135603680702,0.021544528784963157,126108.76914,192.323998627442
NL,C,2015,70958.0,1106433,145824.0,0.1251722224266824,0.07618229803005083,131521.26851999998,185.35086744271257
NL,C,2016,73940.0,1127376,148108.0,0.1281452313353098,0.023751347151871327,128311.01565,173.53396760887205
NL,C,2017,79216.0,1139986,150426.0,0.1355731455530762,0.0579648118027134,139043.62962,175.52467887800444
NL,C,2018,83919.0,1165029,155560.0,0.1399872134166265,0.03255857084043412,146668.75512000002,174.77419311478928
NL,C,2019,86468.0,1200922,162151.0,0.13941420256608658,-0.004093308499788062,161444.82319,186.71048617985844
NL,C,2020,85598.0,1155617,166065.0,0.14050329639739984,0.0078119288513449625,144373.76051,168.66487594336314
NL,C,2021,95886.0,1198699,170652.0,0.1522028027466452,0.08326855418505241,170023.05861,177.31791774607345
NL,C,2022,102836.0,1218380,183447.0,0.15765662414563764,0.035832595067718964,248069.89546,241.2286509199113
NL,C,2023,109965.0,1239274,193001.0,0.16390707771693258,0.03964599397689117,238594.58659,216.97320655663165
NL,F,2014,25828.0,838497,23371.0,0.1003878738979809,0.017018794263864434,940.78487,3.6424998838469875
NL,F,2015,26128.0,836031,23436.0,0.1016612909715105,0.012684969051378836,1127.55666,4.3155107930189835
NL,F,2016,28180.0,852021,23763.0,0.10776850790964586,0.06007416273955091,1227.54248,4.356076933995742
NL,F,2017,29966.0,878091,24523.0,0.11114706665190187,0.031350148645359566,1455.0647099999999,4.855718848027765
NL,F,2018,32629.0,922189,26190.0,0.11460133881547845,0.031078392508503194,1319.36246,4.043527107787551
NL,F,2019,36247.0,965377,28367.0,0.12025321275335435,0.04931769555481447,1507.31647,4.158458548293652
NL,F,2020,38666.0,946532,30365.0,0.1270970325272522,0.056911741625854884,1517.70135,3.92515737340299
NL,F,2021,41332.0,1013891,32988.0,0.12624517707757588,-0.006702402351476455,1672.33881,4.046111511661667
NL,F,2022,43981.0,1078174,36563.0,0.12461197109615853,-0.012936779203959303,2509.5188599999997,5.705915872763238
NL,F,2023,48484.0,1104161,40485.0,0.13072530533870874,0.049058964309558695,2354.05194,4.855317094299149
NL,J,2014,27924.0,466418,41705.0,0.13281162647970562,-0.012285404372117226,3634.6249,13.016132717375733
NL,J,2015,28817.0,478960,42040.0,0.1342887337784407,0.011121822222098787,3429.62967,11.9014112156019
NL,J,2016,30005.0,494903,42713.0,0.13607562828783162,0.013306362038822073,2693.42779,8.976596533911016
NL,J,2017,31006.0,511453,44270.0,0.13593452097066877,-0.0010369771496802072,3061.70248,9.874548409985163
NL,J,2018,32358.0,527354,44933.0,0.13830140103848573,0.017411913110192856,4145.49477,12.811344242536624
NL,J,2019,34452.0,549012,47631.0,0.14060184086682745,0.0166335251202665,3997.36539,11.602709247648903
NL,J,2020,36960.0,558150,50691.0,0.14614422436321056,0.03941899666614357,4296.890240000001,11.625785281385284
NL,J,2021,39019.0,581550,54299.0,0.14673087259036194,0.00401417318889985,4892.75582,12.539418795971194
